United States,1
United Kingdom,44
Sweden,46
Austria,43
Germany,49
Singapore,65
Guernsey,44
Republic of Ireland,353
Italy,39
France,33
Malta,356
Belgium,32
Switzerland,41
Greece,30
United Arab Emirates,971
Netherlands,31
Australia,61
Egypt,20
Taiwan,886
Canada,1
Malaysia,60
North Macedonia,389
Norway,47
Poland,48
Morocco,212
Luxembourg,352
Hong Kong,852
New Zealand,64
Réunion,262
Iraq,964
Romania,40
Costa Rica,506
Czech Republic,420
Curaçao,5999
Hungary,36
Lebanon,961
India,91
Philippines,63
Denmark,45
South Africa,27
Estonia,372
Nicaragua,505
Kuwait,965
China,86
Chile,56
Venezuela,58
Portugal,351
Turkey,90
Brazil,55
Indonesia,62
Israel,972
Spain,34
Croatia,385
Iceland,354
Japan,81
Liechtenstein,423
Qatar,974
Thailand,66
South Korea,82
Finland,358
Mexico,52
Saudi Arabia,966
Ivory Coast,225
Moldova,373
Cyprus,357
Kazakhstan,7
Colombia,57
Nigeria,234
Bolivia,591
